scene_id,bank_id,base_map_cluster_id,canonical_base_map_digest,regenerated_canonical_base_map_digest,observation_noise_binding_sha256,regenerated_observation_noise_binding_sha256,role,maps_match,canonical_foundation_identity_match,csi_repeat_match,observation_noise_seed_binding_match,csi_clean_match,noop_maps_match,path_power_match,noop_path_power_match,free_space_match,phase_reference_ids_match,phase_reference_values_match,phase_reference_source_sha256_match,path_ids_match,path_surface_ids_match,noop_path_ids_match,noop_path_surface_ids_match,passed,artifact_label,dataset_sha256,config_sha256,fixture,scientific_use,source_tree_sha256,requirements_lock_sha256,runtime_provenance_sha256
osm-sionna-source-chicago-bank-00,osm-sionna-source-chicago-bank-00,osm-foundation-source-chicago-00,833851c9a59ecf9ce091a382694cef9e85639c00b5a2d7b3b4b1be6d68b8f58a,833851c9a59ecf9ce091a382694cef9e85639c00b5a2d7b3b4b1be6d68b8f58a,6f3579bf075c2d7bebca39988b54a76cea785c645b96de314ebfd25055da6d74,6f3579bf075c2d7bebca39988b54a76cea785c645b96de314ebfd25055da6d74,source_encoder_train,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,csi-pairs-formal-v2.1-v6,060d8671380acaf43bd0beb2c77ac5c6ec112e4ddc083451ab36a5916b7c9cac,3424a269a751f219f4897b969db7cc13d2236fc72e8e2ccb663dec8d7f8f477c,False,CANDIDATE_NOT_CLAIM,8e8eaf212578b3dc624e40d1d979f0c37787afa3e7e464eac52d5b68610dfe07,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,b932e19891ce63535cf1714a6b3adb0ade296d0a6a6326a4aebf3c1041117a30
osm-sionna-source-chicago-bank-01,osm-sionna-source-chicago-bank-01,osm-foundation-source-chicago-01,99c878fc6a182adaf71eacb3734ea1cd1c6dff555d74f5dcfc2826dcd3916327,99c878fc6a182adaf71eacb3734ea1cd1c6dff555d74f5dcfc2826dcd3916327,bb5b5961618890fceb5acb0cac3be690c6e36a6500b44305e6620ae9dc195462,bb5b5961618890fceb5acb0cac3be690c6e36a6500b44305e6620ae9dc195462,source_encoder_train,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,csi-pairs-formal-v2.1-v6,060d8671380acaf43bd0beb2c77ac5c6ec112e4ddc083451ab36a5916b7c9cac,3424a269a751f219f4897b969db7cc13d2236fc72e8e2ccb663dec8d7f8f477c,False,CANDIDATE_NOT_CLAIM,8e8eaf212578b3dc624e40d1d979f0c37787afa3e7e464eac52d5b68610dfe07,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,b932e19891ce63535cf1714a6b3adb0ade296d0a6a6326a4aebf3c1041117a30
osm-sionna-source-chicago-bank-02,osm-sionna-source-chicago-bank-02,osm-foundation-source-chicago-02,137ed20e929c97fbc72ec864c24c0ce3b03ec2116eb5f250d0b5a2adb1cedd82,137ed20e929c97fbc72ec864c24c0ce3b03ec2116eb5f250d0b5a2adb1cedd82,8c628ea26592e79019b840a2c33d121ca87f5a17a95873ffd343440682e1138c,8c628ea26592e79019b840a2c33d121ca87f5a17a95873ffd343440682e1138c,source_encoder_train,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,csi-pairs-formal-v2.1-v6,060d8671380acaf43bd0beb2c77ac5c6ec112e4ddc083451ab36a5916b7c9cac,3424a269a751f219f4897b969db7cc13d2236fc72e8e2ccb663dec8d7f8f477c,False,CANDIDATE_NOT_CLAIM,8e8eaf212578b3dc624e40d1d979f0c37787afa3e7e464eac52d5b68610dfe07,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,b932e19891ce63535cf1714a6b3adb0ade296d0a6a6326a4aebf3c1041117a30
osm-sionna-source-chicago-bank-03,osm-sionna-source-chicago-bank-03,osm-foundation-source-chicago-03,ee31fc1ea9ecf0c7142c84c52a7ca08eb0a89c5d6ee61a4e51edffde57be7de8,ee31fc1ea9ecf0c7142c84c52a7ca08eb0a89c5d6ee61a4e51edffde57be7de8,39e7be977272c3e9e79d54cf26b7ca8df64d6750e21af6c014a166e618a92951,39e7be977272c3e9e79d54cf26b7ca8df64d6750e21af6c014a166e618a92951,source_encoder_train,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,csi-pairs-formal-v2.1-v6,060d8671380acaf43bd0beb2c77ac5c6ec112e4ddc083451ab36a5916b7c9cac,3424a269a751f219f4897b969db7cc13d2236fc72e8e2ccb663dec8d7f8f477c,False,CANDIDATE_NOT_CLAIM,8e8eaf212578b3dc624e40d1d979f0c37787afa3e7e464eac52d5b68610dfe07,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,b932e19891ce63535cf1714a6b3adb0ade296d0a6a6326a4aebf3c1041117a30
osm-sionna-source-chicago-bank-04,osm-sionna-source-chicago-bank-04,osm-foundation-source-chicago-04,8b47740e768ba4606828d8ef537c985054836627bb8b345adbc61e1c1a8d19f5,8b47740e768ba4606828d8ef537c985054836627bb8b345adbc61e1c1a8d19f5,727d8a8bde1bab0054a0c394d8defb264cee7d7c852b01b88191f06e2464c75e,727d8a8bde1bab0054a0c394d8defb264cee7d7c852b01b88191f06e2464c75e,source_encoder_train,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,csi-pairs-formal-v2.1-v6,060d8671380acaf43bd0beb2c77ac5c6ec112e4ddc083451ab36a5916b7c9cac,3424a269a751f219f4897b969db7cc13d2236fc72e8e2ccb663dec8d7f8f477c,False,CANDIDATE_NOT_CLAIM,8e8eaf212578b3dc624e40d1d979f0c37787afa3e7e464eac52d5b68610dfe07,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,b932e19891ce63535cf1714a6b3adb0ade296d0a6a6326a4aebf3c1041117a30
osm-sionna-source-chicago-bank-05,osm-sionna-source-chicago-bank-05,osm-foundation-source-chicago-05,64d5b7145838e6d9e9793e124c6676beefafd4c18656175ca8bae1b6fafc9c23,64d5b7145838e6d9e9793e124c6676beefafd4c18656175ca8bae1b6fafc9c23,51947e88296819e5564ad4dd0a58547a341cbaebf1c9883e85028d22c400de92,51947e88296819e5564ad4dd0a58547a341cbaebf1c9883e85028d22c400de92,source_encoder_train,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,csi-pairs-formal-v2.1-v6,060d8671380acaf43bd0beb2c77ac5c6ec112e4ddc083451ab36a5916b7c9cac,3424a269a751f219f4897b969db7cc13d2236fc72e8e2ccb663dec8d7f8f477c,False,CANDIDATE_NOT_CLAIM,8e8eaf212578b3dc624e40d1d979f0c37787afa3e7e464eac52d5b68610dfe07,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,b932e19891ce63535cf1714a6b3adb0ade296d0a6a6326a4aebf3c1041117a30
osm-sionna-source-chicago-bank-06,osm-sionna-source-chicago-bank-06,osm-foundation-source-chicago-06,ccdd239147e070748cd47894b72c3a28036b0e4136d3bcfd0d3ce0cafb987bb1,ccdd239147e070748cd47894b72c3a28036b0e4136d3bcfd0d3ce0cafb987bb1,99dade40a5c6c7745d5c722fbf6744e793fcfe55b218a9812d84227b803026d7,99dade40a5c6c7745d5c722fbf6744e793fcfe55b218a9812d84227b803026d7,source_encoder_train,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,csi-pairs-formal-v2.1-v6,060d8671380acaf43bd0beb2c77ac5c6ec112e4ddc083451ab36a5916b7c9cac,3424a269a751f219f4897b969db7cc13d2236fc72e8e2ccb663dec8d7f8f477c,False,CANDIDATE_NOT_CLAIM,8e8eaf212578b3dc624e40d1d979f0c37787afa3e7e464eac52d5b68610dfe07,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,b932e19891ce63535cf1714a6b3adb0ade296d0a6a6326a4aebf3c1041117a30
osm-sionna-source-chicago-bank-07,osm-sionna-source-chicago-bank-07,osm-foundation-source-chicago-07,7debdc1f3236883069b486dea5fdc70be82cfebede9b05e98bf6561cc514c94f,7debdc1f3236883069b486dea5fdc70be82cfebede9b05e98bf6561cc514c94f,4d5e822863e86727af0947cf8ad23f9ce08adc50e1674cf3c96e6d9892c110d2,4d5e822863e86727af0947cf8ad23f9ce08adc50e1674cf3c96e6d9892c110d2,source_encoder_train,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,csi-pairs-formal-v2.1-v6,060d8671380acaf43bd0beb2c77ac5c6ec112e4ddc083451ab36a5916b7c9cac,3424a269a751f219f4897b969db7cc13d2236fc72e8e2ccb663dec8d7f8f477c,False,CANDIDATE_NOT_CLAIM,8e8eaf212578b3dc624e40d1d979f0c37787afa3e7e464eac52d5b68610dfe07,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,b932e19891ce63535cf1714a6b3adb0ade296d0a6a6326a4aebf3c1041117a30
osm-sionna-source-chicago-bank-08,osm-sionna-source-chicago-bank-08,osm-foundation-source-chicago-08,6f886b083845ff9b21b671af995058b5bd4b8c8fe8d4cb38e33ee391bbb0351a,6f886b083845ff9b21b671af995058b5bd4b8c8fe8d4cb38e33ee391bbb0351a,74d29f31f0fe7190495531fd19a6f60ef5f592d23a5df55f27f6bc9c236887a6,74d29f31f0fe7190495531fd19a6f60ef5f592d23a5df55f27f6bc9c236887a6,source_encoder_train,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,csi-pairs-formal-v2.1-v6,060d8671380acaf43bd0beb2c77ac5c6ec112e4ddc083451ab36a5916b7c9cac,3424a269a751f219f4897b969db7cc13d2236fc72e8e2ccb663dec8d7f8f477c,False,CANDIDATE_NOT_CLAIM,8e8eaf212578b3dc624e40d1d979f0c37787afa3e7e464eac52d5b68610dfe07,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,b932e19891ce63535cf1714a6b3adb0ade296d0a6a6326a4aebf3c1041117a30
osm-sionna-source-chicago-bank-09,osm-sionna-source-chicago-bank-09,osm-foundation-source-chicago-09,5077c285bffba9e2894f8b547da6c22841c0fd7b3ae01ce5c03bb48770c458ac,5077c285bffba9e2894f8b547da6c22841c0fd7b3ae01ce5c03bb48770c458ac,bd56cf7f2051bb2abee33d6e219fc4233b9a7fba6d1290ca3b4af0ddfe1688b7,bd56cf7f2051bb2abee33d6e219fc4233b9a7fba6d1290ca3b4af0ddfe1688b7,source_encoder_train,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,csi-pairs-formal-v2.1-v6,060d8671380acaf43bd0beb2c77ac5c6ec112e4ddc083451ab36a5916b7c9cac,3424a269a751f219f4897b969db7cc13d2236fc72e8e2ccb663dec8d7f8f477c,False,CANDIDATE_NOT_CLAIM,8e8eaf212578b3dc624e40d1d979f0c37787afa3e7e464eac52d5b68610dfe07,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,b932e19891ce63535cf1714a6b3adb0ade296d0a6a6326a4aebf3c1041117a30
