seed,arm,steps,batch_size,parameters,elapsed_seconds,state_calls_per_step,predict_calls_per_step,forward_calls_per_step,total_forward_calls,measured_flops_per_step,flop_measurement_status,compute_contract,alignment_score_physical_weight,alignment_gradient_norm_mean,response_gradient_norm_mean,raw_alignment_gradient_norm_mean,raw_response_gradient_norm_mean,full_joint_loss,task_log_variance_alignment,task_log_variance_response,encoder_alignment_response_grad_cosine_mean,encoder_alignment_response_grad_cosine_count,encoder_grad_cosine_note,checkpoint_rule,execution_device,batch_plan_contract,response_macro_contract,response_all_anchor_bundles_per_step,response_active_anchor_bundles_per_step,response_null_anchor_bundles_per_step,response_mask_reuse_key,final_total_loss,final_endpoint_loss,final_endpoint_world_loss,final_endpoint_natural_loss,final_alignment_loss,final_alignment_active_loss,final_alignment_active_fixed_loss,final_alignment_active_effect_aware_loss,final_alignment_null_loss,final_response_loss,final_response_target_loss,final_response_physical_loss,final_response_active_loss,final_response_null_loss,checkpoint,checkpoint_sha256,alignment_scale,response_scale,alignment_null_tolerance,parallel_worker_count,artifact_label,dataset_sha256,config_sha256,fixture,scientific_use,source_tree_sha256,requirements_lock_sha256,runtime_provenance_sha256
20270001,endpoint,20000,128,1888836,4123.7919590789825,2,2,4,80000,12380733440,TORCH_DISPATCH_COUNTER_PER_ARM,all arms reuse the identical deterministic batch plan; disabled alignment/response supervision skips its forward graph and has zero raw and weighted gradient,1.0,0.0,0.0,0.0,0.0,static_sum,,,,0,diagnostic cosine of alignment vs response grads on shared encoder parameters; not a conflict-rate proof,fixed_final_step_no_target_selection,cuda:0,identical bank/edge/direction/mask/query sequence for all arms at a seed,"independent cluster-bank anchor-edge macro samples for all-directed-edge target, active conditional, and null conditional terms; complete sibling bundles use inverse bundle-size weights",128,128,128,scene/source/position/query across target and conditional estimators,0.2387900948524475,0.2387900948524475,0.156796395778656,0.1639874130487442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,checkpoints/seed_20270001/endpoint.pt,010d54fae4eacf41459b1595e6216162b5e93edff28368f65f0991049dccbc87,0.10000000189756975,0.49074044404551387,0.0,2,csi-pairs-formal-v2.1-v6,060d8671380acaf43bd0beb2c77ac5c6ec112e4ddc083451ab36a5916b7c9cac,3424a269a751f219f4897b969db7cc13d2236fc72e8e2ccb663dec8d7f8f477c,False,CANDIDATE_NOT_CLAIM,8e8eaf212578b3dc624e40d1d979f0c37787afa3e7e464eac52d5b68610dfe07,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,b932e19891ce63535cf1714a6b3adb0ade296d0a6a6326a4aebf3c1041117a30
20270001,alignment,20000,128,1888836,110742.34658337757,10,10,20,400000,804747673600,TORCH_DISPATCH_COUNTER_PER_ARM,all arms reuse the identical deterministic batch plan; disabled alignment/response supervision skips its forward graph and has zero raw and weighted gradient,1.0,0.0027781663537354007,0.0,0.0002778233840974309,0.0,static_sum,,,,0,diagnostic cosine of alignment vs response grads on shared encoder parameters; not a conflict-rate proof,fixed_final_step_no_target_selection,cuda:1,identical bank/edge/direction/mask/query sequence for all arms at a seed,"independent cluster-bank anchor-edge macro samples for all-directed-edge target, active conditional, and null conditional terms; complete sibling bundles use inverse bundle-size weights",128,128,128,scene/source/position/query across target and conditional estimators,1.191628336906433,0.19156503677368164,0.1350988745689392,0.11293233186006546,0.1000063344836235,0.10000618547201157,0.10000618547201157,0.011055312119424343,1.460401080066731e-07,0.0,0.0,0.0,0.0,0.0,checkpoints/seed_20270001/alignment.pt,484f94d8be558ee8739c9bc4d55aad91262767f5848eb82d5448e56edeca82be,0.10000000189756975,0.49074044404551387,0.0,2,csi-pairs-formal-v2.1-v6,060d8671380acaf43bd0beb2c77ac5c6ec112e4ddc083451ab36a5916b7c9cac,3424a269a751f219f4897b969db7cc13d2236fc72e8e2ccb663dec8d7f8f477c,False,CANDIDATE_NOT_CLAIM,8e8eaf212578b3dc624e40d1d979f0c37787afa3e7e464eac52d5b68610dfe07,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,b932e19891ce63535cf1714a6b3adb0ade296d0a6a6326a4aebf3c1041117a30
20270001,response,20000,128,1888836,24617.485018948093,5,10,15,300000,102394947072,TORCH_DISPATCH_COUNTER_PER_ARM,all arms reuse the identical deterministic batch plan; disabled alignment/response supervision skips its forward graph and has zero raw and weighted gradient,1.0,0.0,2.6450893208384514,0.0,1.2980521582067013,static_sum,,,,0,diagnostic cosine of alignment vs response grads on shared encoder parameters; not a conflict-rate proof,fixed_final_step_no_target_selection,cuda:0,identical bank/edge/direction/mask/query sequence for all arms at a seed,"independent cluster-bank anchor-edge macro samples for all-directed-edge target, active conditional, and null conditional terms; complete sibling bundles use inverse bundle-size weights",128,128,128,scene/source/position/query across target and conditional estimators,0.514346718788147,0.16685369610786438,0.11159595847129822,0.11051547527313232,0.0,0.0,0.0,0.0,0.0,0.17052887380123138,0.08873546868562698,0.07058276981115341,0.011101773008704185,0.0001088656354113482,checkpoints/seed_20270001/response.pt,9734c2d4e60373505e5bc789bfbab43d6111f7139c47d6d0c23f96079152d88a,0.10000000189756975,0.49074044404551387,0.0,2,csi-pairs-formal-v2.1-v6,060d8671380acaf43bd0beb2c77ac5c6ec112e4ddc083451ab36a5916b7c9cac,3424a269a751f219f4897b969db7cc13d2236fc72e8e2ccb663dec8d7f8f477c,False,CANDIDATE_NOT_CLAIM,8e8eaf212578b3dc624e40d1d979f0c37787afa3e7e464eac52d5b68610dfe07,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,b932e19891ce63535cf1714a6b3adb0ade296d0a6a6326a4aebf3c1041117a30
20270001,full,20000,128,1888838,108212.90833123308,13,18,31,620000,894761887232,TORCH_DISPATCH_COUNTER_PER_ARM,all arms reuse the identical deterministic batch plan; disabled alignment/response supervision skips its forward graph and has zero raw and weighted gradient,1.0,0.005818839564952327,0.46292298287153244,0.0005818846341600903,0.2271750085055828,uncertainty_weighting,0.00013558633509092033,-1.1874914169311523,0.00041205581944825045,201,diagnostic cosine of alignment vs response grads on shared encoder parameters; not a conflict-rate proof,fixed_final_step_no_target_selection,cuda:1,identical bank/edge/direction/mask/query sequence for all arms at a seed,"independent cluster-bank anchor-edge macro samples for all-directed-edge target, active conditional, and null conditional terms; complete sibling bundles use inverse bundle-size weights",128,128,128,scene/source/position/query across target and conditional estimators,0.9738789796829224,0.17264968156814575,0.11024530977010727,0.12480874359607697,0.09998901933431625,0.09998882561922073,0.09998882561922073,0.011037950403988361,1.953624746420246e-07,0.14799688756465912,0.08314711600542068,0.05265326052904129,0.011107007041573524,0.0010894947918131948,checkpoints/seed_20270001/full.pt,2ea0a0698ab910987ba6f26f30d7c08c3e749d31807d1a21691955b8274ef866,0.10000000189756975,0.49074044404551387,0.0,2,csi-pairs-formal-v2.1-v6,060d8671380acaf43bd0beb2c77ac5c6ec112e4ddc083451ab36a5916b7c9cac,3424a269a751f219f4897b969db7cc13d2236fc72e8e2ccb663dec8d7f8f477c,False,CANDIDATE_NOT_CLAIM,8e8eaf212578b3dc624e40d1d979f0c37787afa3e7e464eac52d5b68610dfe07,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,b932e19891ce63535cf1714a6b3adb0ade296d0a6a6326a4aebf3c1041117a30
20270002,endpoint,20000,128,1888836,24750.91100200638,2,2,4,80000,12380733440,TORCH_DISPATCH_COUNTER_PER_ARM,all arms reuse the identical deterministic batch plan; disabled alignment/response supervision skips its forward graph and has zero raw and weighted gradient,1.0,0.0,0.0,0.0,0.0,static_sum,,,,0,diagnostic cosine of alignment vs response grads on shared encoder parameters; not a conflict-rate proof,fixed_final_step_no_target_selection,cuda:0,identical bank/edge/direction/mask/query sequence for all arms at a seed,"independent cluster-bank anchor-edge macro samples for all-directed-edge target, active conditional, and null conditional terms; complete sibling bundles use inverse bundle-size weights",128,128,128,scene/source/position/query across target and conditional estimators,0.3257042169570923,0.3257042169570923,0.24696817994117737,0.15747204422950745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,checkpoints/seed_20270002/endpoint.pt,19fd309307a25d52ed9f3dc0728591ed25a6e580d2c2af86156b1dd195c28f25,0.10000000189756975,0.49074044404551387,0.0,2,csi-pairs-formal-v2.1-v6,060d8671380acaf43bd0beb2c77ac5c6ec112e4ddc083451ab36a5916b7c9cac,3424a269a751f219f4897b969db7cc13d2236fc72e8e2ccb663dec8d7f8f477c,False,CANDIDATE_NOT_CLAIM,8e8eaf212578b3dc624e40d1d979f0c37787afa3e7e464eac52d5b68610dfe07,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,b932e19891ce63535cf1714a6b3adb0ade296d0a6a6326a4aebf3c1041117a30
20270002,alignment,20000,128,1888836,19413.459972942248,10,10,20,400000,804747673600,TORCH_DISPATCH_COUNTER_PER_ARM,all arms reuse the identical deterministic batch plan; disabled alignment/response supervision skips its forward graph and has zero raw and weighted gradient,1.0,0.004323002811119636,0.0,0.0004322976383832611,0.0,static_sum,,,,0,diagnostic cosine of alignment vs response grads on shared encoder parameters; not a conflict-rate proof,fixed_final_step_no_target_selection,cuda:1,identical bank/edge/direction/mask/query sequence for all arms at a seed,"independent cluster-bank anchor-edge macro samples for all-directed-edge target, active conditional, and null conditional terms; complete sibling bundles use inverse bundle-size weights",128,128,128,scene/source/position/query across target and conditional estimators,1.2093626260757446,0.2093765288591385,0.12962082028388977,0.15951141715049744,0.0999986082315445,0.09999853372573853,0.09999853372573853,0.012247143313288689,7.429475346043546e-08,0.0,0.0,0.0,0.0,0.0,checkpoints/seed_20270002/alignment.pt,f08762a1fb42863954dfbd131a70366ceaf6e96e3f013cf196c6152bf914e29d,0.10000000189756975,0.49074044404551387,0.0,2,csi-pairs-formal-v2.1-v6,060d8671380acaf43bd0beb2c77ac5c6ec112e4ddc083451ab36a5916b7c9cac,3424a269a751f219f4897b969db7cc13d2236fc72e8e2ccb663dec8d7f8f477c,False,CANDIDATE_NOT_CLAIM,8e8eaf212578b3dc624e40d1d979f0c37787afa3e7e464eac52d5b68610dfe07,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,b932e19891ce63535cf1714a6b3adb0ade296d0a6a6326a4aebf3c1041117a30
20270002,response,20000,128,1888836,144018.08426976297,5,10,15,300000,101501308416,TORCH_DISPATCH_COUNTER_PER_ARM,all arms reuse the identical deterministic batch plan; disabled alignment/response supervision skips its forward graph and has zero raw and weighted gradient,1.0,0.0,8.902939096093178,0.0,4.3690322786569595,static_sum,,,,0,diagnostic cosine of alignment vs response grads on shared encoder parameters; not a conflict-rate proof,fixed_final_step_no_target_selection,cuda:0,identical bank/edge/direction/mask/query sequence for all arms at a seed,"independent cluster-bank anchor-edge macro samples for all-directed-edge target, active conditional, and null conditional terms; complete sibling bundles use inverse bundle-size weights",128,128,128,scene/source/position/query across target and conditional estimators,0.5004388689994812,0.17852665483951569,0.11114189773797989,0.1347695142030716,0.0,0.0,0.0,0.0,0.0,0.15797534584999084,0.0764794647693634,0.06931611150503159,0.011784104630351067,0.00039565941551700234,checkpoints/seed_20270002/response.pt,ff0de5461fc49ad33111f1845aaece791695027dd0e384b21ed6480bafbb8bf3,0.10000000189756975,0.49074044404551387,0.0,2,csi-pairs-formal-v2.1-v6,060d8671380acaf43bd0beb2c77ac5c6ec112e4ddc083451ab36a5916b7c9cac,3424a269a751f219f4897b969db7cc13d2236fc72e8e2ccb663dec8d7f8f477c,False,CANDIDATE_NOT_CLAIM,8e8eaf212578b3dc624e40d1d979f0c37787afa3e7e464eac52d5b68610dfe07,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,b932e19891ce63535cf1714a6b3adb0ade296d0a6a6326a4aebf3c1041117a30
20270002,full,20000,128,1888838,24777.135517817922,13,18,31,620000,893868248576,TORCH_DISPATCH_COUNTER_PER_ARM,all arms reuse the identical deterministic batch plan; disabled alignment/response supervision skips its forward graph and has zero raw and weighted gradient,1.0,0.0039392154883302055,0.4494381994009018,0.0003939187081982709,0.22055751085281372,uncertainty_weighting,-0.00014269747771322727,-1.1932129859924316,0.010029478452040406,201,diagnostic cosine of alignment vs response grads on shared encoder parameters; not a conflict-rate proof,fixed_final_step_no_target_selection,cuda:1,identical bank/edge/direction/mask/query sequence for all arms at a seed,"independent cluster-bank anchor-edge macro samples for all-directed-edge target, active conditional, and null conditional terms; complete sibling bundles use inverse bundle-size weights",128,128,128,scene/source/position/query across target and conditional estimators,0.9639379978179932,0.19222331047058105,0.1234874278306961,0.1374717801809311,0.09998733550310135,0.09998725354671478,0.09998725354671478,0.012235861271619797,8.558750153042638e-08,0.14361430704593658,0.07633951306343079,0.05462080240249634,0.011894835159182549,0.0007591535104438663,checkpoints/seed_20270002/full.pt,bdfb5c522945a568ff068de6e26f9d098e0e832a2aaf782666a1ae3067380e6a,0.10000000189756975,0.49074044404551387,0.0,2,csi-pairs-formal-v2.1-v6,060d8671380acaf43bd0beb2c77ac5c6ec112e4ddc083451ab36a5916b7c9cac,3424a269a751f219f4897b969db7cc13d2236fc72e8e2ccb663dec8d7f8f477c,False,CANDIDATE_NOT_CLAIM,8e8eaf212578b3dc624e40d1d979f0c37787afa3e7e464eac52d5b68610dfe07,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,b932e19891ce63535cf1714a6b3adb0ade296d0a6a6326a4aebf3c1041117a30
20270003,endpoint,20000,128,1888836,3051.9863192597404,2,2,4,80000,12380733440,TORCH_DISPATCH_COUNTER_PER_ARM,all arms reuse the identical deterministic batch plan; disabled alignment/response supervision skips its forward graph and has zero raw and weighted gradient,1.0,0.0,0.0,0.0,0.0,static_sum,,,,0,diagnostic cosine of alignment vs response grads on shared encoder parameters; not a conflict-rate proof,fixed_final_step_no_target_selection,cuda:0,identical bank/edge/direction/mask/query sequence for all arms at a seed,"independent cluster-bank anchor-edge macro samples for all-directed-edge target, active conditional, and null conditional terms; complete sibling bundles use inverse bundle-size weights",128,128,128,scene/source/position/query across target and conditional estimators,0.23266929388046265,0.23266929388046265,0.13976076245307922,0.18581706285476685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,checkpoints/seed_20270003/endpoint.pt,07c75be4faa693c64ed0313c7431294aabf78fe296e0e37204a4903107e8aa9b,0.10000000189756975,0.49074044404551387,0.0,2,csi-pairs-formal-v2.1-v6,060d8671380acaf43bd0beb2c77ac5c6ec112e4ddc083451ab36a5916b7c9cac,3424a269a751f219f4897b969db7cc13d2236fc72e8e2ccb663dec8d7f8f477c,False,CANDIDATE_NOT_CLAIM,8e8eaf212578b3dc624e40d1d979f0c37787afa3e7e464eac52d5b68610dfe07,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,b932e19891ce63535cf1714a6b3adb0ade296d0a6a6326a4aebf3c1041117a30
20270003,alignment,20000,128,1888836,19188.092180153355,10,10,20,400000,804747673600,TORCH_DISPATCH_COUNTER_PER_ARM,all arms reuse the identical deterministic batch plan; disabled alignment/response supervision skips its forward graph and has zero raw and weighted gradient,1.0,0.012740433376379201,0.0,0.0012740542099987096,0.0,static_sum,,,,0,diagnostic cosine of alignment vs response grads on shared encoder parameters; not a conflict-rate proof,fixed_final_step_no_target_selection,cuda:1,identical bank/edge/direction/mask/query sequence for all arms at a seed,"independent cluster-bank anchor-edge macro samples for all-directed-edge target, active conditional, and null conditional terms; complete sibling bundles use inverse bundle-size weights",128,128,128,scene/source/position/query across target and conditional estimators,1.2983002662658691,0.2986993193626404,0.1863437294960022,0.22471114993095398,0.099960096180439,0.0999598279595375,0.0999598279595375,0.012076592072844505,2.695041985134594e-07,0.0,0.0,0.0,0.0,0.0,checkpoints/seed_20270003/alignment.pt,b11248dd1b2efe7f582d34940848add2911fe1acc8060c6e2473a13eb3aa7bfb,0.10000000189756975,0.49074044404551387,0.0,2,csi-pairs-formal-v2.1-v6,060d8671380acaf43bd0beb2c77ac5c6ec112e4ddc083451ab36a5916b7c9cac,3424a269a751f219f4897b969db7cc13d2236fc72e8e2ccb663dec8d7f8f477c,False,CANDIDATE_NOT_CLAIM,8e8eaf212578b3dc624e40d1d979f0c37787afa3e7e464eac52d5b68610dfe07,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,b932e19891ce63535cf1714a6b3adb0ade296d0a6a6326a4aebf3c1041117a30
