panel,method,city,budget,metric,value,status,n,source,note
localization,endpoint,target-boston,0,mean_bank_median_error_m,12.215381641815107,COMPLETE,41,factorial/localization_summary.csv,
localization,endpoint,target-boston,0,mean_bank_p90_error_m,33.51959104064008,COMPLETE,41,factorial/localization_summary.csv,
localization,endpoint,target-boston,8,mean_bank_median_error_m,15.17689055230249,COMPLETE,41,factorial/localization_summary.csv,
localization,endpoint,target-boston,8,mean_bank_p90_error_m,39.00121698589208,COMPLETE,41,factorial/localization_summary.csv,
localization,endpoint,target-boston,32,mean_bank_median_error_m,14.612376129575708,COMPLETE,41,factorial/localization_summary.csv,
localization,endpoint,target-boston,32,mean_bank_p90_error_m,38.18438878746497,COMPLETE,41,factorial/localization_summary.csv,
localization,endpoint,target-boston,128,mean_bank_median_error_m,13.343995959376663,COMPLETE,41,factorial/localization_summary.csv,
localization,endpoint,target-boston,128,mean_bank_p90_error_m,35.143776889527345,COMPLETE,41,factorial/localization_summary.csv,
localization,endpoint,target-seattle,0,mean_bank_median_error_m,9.5314282999011,COMPLETE,41,factorial/localization_summary.csv,
localization,endpoint,target-seattle,0,mean_bank_p90_error_m,30.76270389522339,COMPLETE,41,factorial/localization_summary.csv,
localization,endpoint,target-seattle,8,mean_bank_median_error_m,12.860347282065337,COMPLETE,41,factorial/localization_summary.csv,
localization,endpoint,target-seattle,8,mean_bank_p90_error_m,37.14093103793852,COMPLETE,41,factorial/localization_summary.csv,
localization,endpoint,target-seattle,32,mean_bank_median_error_m,11.927112247978597,COMPLETE,41,factorial/localization_summary.csv,
localization,endpoint,target-seattle,32,mean_bank_p90_error_m,35.00674284031906,COMPLETE,41,factorial/localization_summary.csv,
localization,endpoint,target-seattle,128,mean_bank_median_error_m,10.964707554704015,COMPLETE,41,factorial/localization_summary.csv,
localization,endpoint,target-seattle,128,mean_bank_p90_error_m,32.40180798523828,COMPLETE,41,factorial/localization_summary.csv,
localization,alignment,target-boston,0,mean_bank_median_error_m,13.19192742470109,COMPLETE,41,factorial/localization_summary.csv,
localization,alignment,target-boston,0,mean_bank_p90_error_m,34.66836115640259,COMPLETE,41,factorial/localization_summary.csv,
localization,alignment,target-boston,8,mean_bank_median_error_m,16.727958929549022,COMPLETE,41,factorial/localization_summary.csv,
localization,alignment,target-boston,8,mean_bank_p90_error_m,42.949178747395834,COMPLETE,41,factorial/localization_summary.csv,
localization,alignment,target-boston,32,mean_bank_median_error_m,15.75312854913914,COMPLETE,41,factorial/localization_summary.csv,
localization,alignment,target-boston,32,mean_bank_p90_error_m,39.75608557656259,COMPLETE,41,factorial/localization_summary.csv,
localization,alignment,target-boston,128,mean_bank_median_error_m,14.238238996625348,COMPLETE,41,factorial/localization_summary.csv,
localization,alignment,target-boston,128,mean_bank_p90_error_m,37.23085954634888,COMPLETE,41,factorial/localization_summary.csv,
localization,alignment,target-seattle,0,mean_bank_median_error_m,10.08064452198279,COMPLETE,41,factorial/localization_summary.csv,
localization,alignment,target-seattle,0,mean_bank_p90_error_m,32.31960746753708,COMPLETE,41,factorial/localization_summary.csv,
localization,alignment,target-seattle,8,mean_bank_median_error_m,13.07246361461609,COMPLETE,41,factorial/localization_summary.csv,
localization,alignment,target-seattle,8,mean_bank_p90_error_m,36.7081082695571,COMPLETE,41,factorial/localization_summary.csv,
localization,alignment,target-seattle,32,mean_bank_median_error_m,12.44954815822885,COMPLETE,41,factorial/localization_summary.csv,
localization,alignment,target-seattle,32,mean_bank_p90_error_m,36.01466053401261,COMPLETE,41,factorial/localization_summary.csv,
localization,alignment,target-seattle,128,mean_bank_median_error_m,11.613437761474492,COMPLETE,41,factorial/localization_summary.csv,
