panel,method,city,budget,metric,value,status,n,source,note
six_conditions:correct,SigMap,target-boston,diagnostic,mean_cluster_bank_median_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:correct,SigMap,target-boston,diagnostic,mean_cluster_bank_p90_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:paired_active_alternative,SigMap,target-boston,diagnostic,mean_cluster_bank_median_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:paired_active_alternative,SigMap,target-boston,diagnostic,mean_cluster_bank_p90_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:paired_null_alternative,SigMap,target-boston,diagnostic,mean_cluster_bank_median_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:paired_null_alternative,SigMap,target-boston,diagnostic,mean_cluster_bank_p90_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:wrong_city,SigMap,target-boston,diagnostic,mean_cluster_bank_median_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:wrong_city,SigMap,target-boston,diagnostic,mean_cluster_bank_p90_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:geometry_destroyed,SigMap,target-boston,diagnostic,mean_cluster_bank_median_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:geometry_destroyed,SigMap,target-boston,diagnostic,mean_cluster_bank_p90_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:empty,SigMap,target-boston,diagnostic,mean_cluster_bank_median_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:empty,SigMap,target-boston,diagnostic,mean_cluster_bank_p90_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:correct,SigMap,target-seattle,diagnostic,mean_cluster_bank_median_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:correct,SigMap,target-seattle,diagnostic,mean_cluster_bank_p90_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:paired_active_alternative,SigMap,target-seattle,diagnostic,mean_cluster_bank_median_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:paired_active_alternative,SigMap,target-seattle,diagnostic,mean_cluster_bank_p90_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:paired_null_alternative,SigMap,target-seattle,diagnostic,mean_cluster_bank_median_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:paired_null_alternative,SigMap,target-seattle,diagnostic,mean_cluster_bank_p90_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:wrong_city,SigMap,target-seattle,diagnostic,mean_cluster_bank_median_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:wrong_city,SigMap,target-seattle,diagnostic,mean_cluster_bank_p90_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:geometry_destroyed,SigMap,target-seattle,diagnostic,mean_cluster_bank_median_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:geometry_destroyed,SigMap,target-seattle,diagnostic,mean_cluster_bank_p90_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:empty,SigMap,target-seattle,diagnostic,mean_cluster_bank_median_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:empty,SigMap,target-seattle,diagnostic,mean_cluster_bank_p90_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:correct,Wi-GATr,target-boston,diagnostic,mean_cluster_bank_median_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:correct,Wi-GATr,target-boston,diagnostic,mean_cluster_bank_p90_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:paired_active_alternative,Wi-GATr,target-boston,diagnostic,mean_cluster_bank_median_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:paired_active_alternative,Wi-GATr,target-boston,diagnostic,mean_cluster_bank_p90_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:paired_null_alternative,Wi-GATr,target-boston,diagnostic,mean_cluster_bank_median_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:paired_null_alternative,Wi-GATr,target-boston,diagnostic,mean_cluster_bank_p90_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:wrong_city,Wi-GATr,target-boston,diagnostic,mean_cluster_bank_median_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:wrong_city,Wi-GATr,target-boston,diagnostic,mean_cluster_bank_p90_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:geometry_destroyed,Wi-GATr,target-boston,diagnostic,mean_cluster_bank_median_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:geometry_destroyed,Wi-GATr,target-boston,diagnostic,mean_cluster_bank_p90_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:empty,Wi-GATr,target-boston,diagnostic,mean_cluster_bank_median_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:empty,Wi-GATr,target-boston,diagnostic,mean_cluster_bank_p90_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:correct,Wi-GATr,target-seattle,diagnostic,mean_cluster_bank_median_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:correct,Wi-GATr,target-seattle,diagnostic,mean_cluster_bank_p90_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:paired_active_alternative,Wi-GATr,target-seattle,diagnostic,mean_cluster_bank_median_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:paired_active_alternative,Wi-GATr,target-seattle,diagnostic,mean_cluster_bank_p90_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:paired_null_alternative,Wi-GATr,target-seattle,diagnostic,mean_cluster_bank_median_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:paired_null_alternative,Wi-GATr,target-seattle,diagnostic,mean_cluster_bank_p90_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:wrong_city,Wi-GATr,target-seattle,diagnostic,mean_cluster_bank_median_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:wrong_city,Wi-GATr,target-seattle,diagnostic,mean_cluster_bank_p90_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:geometry_destroyed,Wi-GATr,target-seattle,diagnostic,mean_cluster_bank_median_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:geometry_destroyed,Wi-GATr,target-seattle,diagnostic,mean_cluster_bank_p90_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:empty,Wi-GATr,target-seattle,diagnostic,mean_cluster_bank_median_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:empty,Wi-GATr,target-seattle,diagnostic,mean_cluster_bank_p90_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:correct,PMNet,target-boston,diagnostic,mean_cluster_bank_median_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:correct,PMNet,target-boston,diagnostic,mean_cluster_bank_p90_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:paired_active_alternative,PMNet,target-boston,diagnostic,mean_cluster_bank_median_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:paired_active_alternative,PMNet,target-boston,diagnostic,mean_cluster_bank_p90_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:paired_null_alternative,PMNet,target-boston,diagnostic,mean_cluster_bank_median_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:paired_null_alternative,PMNet,target-boston,diagnostic,mean_cluster_bank_p90_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:wrong_city,PMNet,target-boston,diagnostic,mean_cluster_bank_median_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:wrong_city,PMNet,target-boston,diagnostic,mean_cluster_bank_p90_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:geometry_destroyed,PMNet,target-boston,diagnostic,mean_cluster_bank_median_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:geometry_destroyed,PMNet,target-boston,diagnostic,mean_cluster_bank_p90_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:empty,PMNet,target-boston,diagnostic,mean_cluster_bank_median_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:empty,PMNet,target-boston,diagnostic,mean_cluster_bank_p90_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:correct,PMNet,target-seattle,diagnostic,mean_cluster_bank_median_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:correct,PMNet,target-seattle,diagnostic,mean_cluster_bank_p90_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:paired_active_alternative,PMNet,target-seattle,diagnostic,mean_cluster_bank_median_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:paired_active_alternative,PMNet,target-seattle,diagnostic,mean_cluster_bank_p90_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:paired_null_alternative,PMNet,target-seattle,diagnostic,mean_cluster_bank_median_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:paired_null_alternative,PMNet,target-seattle,diagnostic,mean_cluster_bank_p90_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:wrong_city,PMNet,target-seattle,diagnostic,mean_cluster_bank_median_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:wrong_city,PMNet,target-seattle,diagnostic,mean_cluster_bank_p90_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:geometry_destroyed,PMNet,target-seattle,diagnostic,mean_cluster_bank_median_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:geometry_destroyed,PMNet,target-seattle,diagnostic,mean_cluster_bank_p90_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:empty,PMNet,target-seattle,diagnostic,mean_cluster_bank_median_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:empty,PMNet,target-seattle,diagnostic,mean_cluster_bank_p90_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:correct,WiSER,target-boston,diagnostic,mean_cluster_bank_median_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:correct,WiSER,target-boston,diagnostic,mean_cluster_bank_p90_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
