scene_id,bank_id,role,alignment_null_units,alignment_gray_units,alignment_active_units,response_patch_null_units,response_patch_gray_units,response_patch_active_units,alignment_teacher_stratum_null_units,alignment_teacher_stratum_gray_units,alignment_teacher_stratum_active_units,response_patch_teacher_stratum_null_units,response_patch_teacher_stratum_gray_units,response_patch_teacher_stratum_active_units,coverage_scope,passed,artifact_label,dataset_sha256,config_sha256,fixture,scientific_use,source_tree_sha256,requirements_lock_sha256,runtime_provenance_sha256,active_source_state_units,active_branching_units,active_branching_fraction,active_response_units_for_wrong_action,wrong_action_exact_units,wrong_action_fallback_units,wrong_action_failed_units,wrong_action_exact_actions,wrong_action_fallback_actions,wrong_action_failed_actions,wrong_action_exact_fraction,wrong_action_fallback_fraction,wrong_action_failed_fraction,geometry_matched_wrong_action_units,geometry_matched_wrong_action_fraction
osm-sionna-source-chicago-bank-00,osm-sionna-source-chicago-bank-00,source_encoder_train,13552,984,1848,219904,9040,33200,13744,1168,1472,219864,20008,22272,source_encoder_train_per_bank,True,csi-pairs-formal-v2.1-v6,060d8671380acaf43bd0beb2c77ac5c6ec112e4ddc083451ab36a5916b7c9cac,ce0d6de3d77ed6edde2c9eca5f7ce4ab92c262b63ce50b25113c1cffc8a3ca46,False,FORMAL_EXPERIMENT_ALLOWED,c63b699ed767134007e47157a733f68e4c31de8be4ca0c30d71ec46a08b85621,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,f03e9b40548b237a49c65fc91de8d79034f2eebff1da0442b6af685a9adf95bd,,,,,,,,,,,,,,,
osm-sionna-source-chicago-bank-01,osm-sionna-source-chicago-bank-01,source_encoder_train,13312,120,2952,212992,0,49152,13312,1712,1360,212992,28616,20536,source_encoder_train_per_bank,True,csi-pairs-formal-v2.1-v6,060d8671380acaf43bd0beb2c77ac5c6ec112e4ddc083451ab36a5916b7c9cac,ce0d6de3d77ed6edde2c9eca5f7ce4ab92c262b63ce50b25113c1cffc8a3ca46,False,FORMAL_EXPERIMENT_ALLOWED,c63b699ed767134007e47157a733f68e4c31de8be4ca0c30d71ec46a08b85621,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,f03e9b40548b237a49c65fc91de8d79034f2eebff1da0442b6af685a9adf95bd,,,,,,,,,,,,,,,
osm-sionna-source-chicago-bank-02,osm-sionna-source-chicago-bank-02,source_encoder_train,13296,16,3072,212992,4304,44848,13264,48,3072,212224,960,48960,source_encoder_train_per_bank,True,csi-pairs-formal-v2.1-v6,060d8671380acaf43bd0beb2c77ac5c6ec112e4ddc083451ab36a5916b7c9cac,ce0d6de3d77ed6edde2c9eca5f7ce4ab92c262b63ce50b25113c1cffc8a3ca46,False,FORMAL_EXPERIMENT_ALLOWED,c63b699ed767134007e47157a733f68e4c31de8be4ca0c30d71ec46a08b85621,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,f03e9b40548b237a49c65fc91de8d79034f2eebff1da0442b6af685a9adf95bd,,,,,,,,,,,,,,,
osm-sionna-source-chicago-bank-03,osm-sionna-source-chicago-bank-03,source_encoder_train,12820,492,3072,200496,12496,49152,12480,844,3060,199680,18248,44216,source_encoder_train_per_bank,True,csi-pairs-formal-v2.1-v6,060d8671380acaf43bd0beb2c77ac5c6ec112e4ddc083451ab36a5916b7c9cac,ce0d6de3d77ed6edde2c9eca5f7ce4ab92c262b63ce50b25113c1cffc8a3ca46,False,FORMAL_EXPERIMENT_ALLOWED,c63b699ed767134007e47157a733f68e4c31de8be4ca0c30d71ec46a08b85621,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,f03e9b40548b237a49c65fc91de8d79034f2eebff1da0442b6af685a9adf95bd,,,,,,,,,,,,,,,
osm-sionna-source-chicago-bank-04,osm-sionna-source-chicago-bank-04,source_encoder_train,13312,0,3072,212992,0,49152,13312,0,3072,212992,48,49104,source_encoder_train_per_bank,True,csi-pairs-formal-v2.1-v6,060d8671380acaf43bd0beb2c77ac5c6ec112e4ddc083451ab36a5916b7c9cac,ce0d6de3d77ed6edde2c9eca5f7ce4ab92c262b63ce50b25113c1cffc8a3ca46,False,FORMAL_EXPERIMENT_ALLOWED,c63b699ed767134007e47157a733f68e4c31de8be4ca0c30d71ec46a08b85621,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,f03e9b40548b237a49c65fc91de8d79034f2eebff1da0442b6af685a9adf95bd,,,,,,,,,,,,,,,
osm-sionna-source-chicago-bank-05,osm-sionna-source-chicago-bank-05,source_encoder_train,13120,112,3152,211120,4384,46640,13152,96,3136,210336,3912,47896,source_encoder_train_per_bank,True,csi-pairs-formal-v2.1-v6,060d8671380acaf43bd0beb2c77ac5c6ec112e4ddc083451ab36a5916b7c9cac,ce0d6de3d77ed6edde2c9eca5f7ce4ab92c262b63ce50b25113c1cffc8a3ca46,False,FORMAL_EXPERIMENT_ALLOWED,c63b699ed767134007e47157a733f68e4c31de8be4ca0c30d71ec46a08b85621,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,f03e9b40548b237a49c65fc91de8d79034f2eebff1da0442b6af685a9adf95bd,,,,,,,,,,,,,,,
osm-sionna-source-chicago-bank-06,osm-sionna-source-chicago-bank-06,source_encoder_train,11440,372,4572,183216,40816,38112,11408,1692,3284,182576,27600,51968,source_encoder_train_per_bank,True,csi-pairs-formal-v2.1-v6,060d8671380acaf43bd0beb2c77ac5c6ec112e4ddc083451ab36a5916b7c9cac,ce0d6de3d77ed6edde2c9eca5f7ce4ab92c262b63ce50b25113c1cffc8a3ca46,False,FORMAL_EXPERIMENT_ALLOWED,c63b699ed767134007e47157a733f68e4c31de8be4ca0c30d71ec46a08b85621,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,f03e9b40548b237a49c65fc91de8d79034f2eebff1da0442b6af685a9adf95bd,,,,,,,,,,,,,,,
osm-sionna-source-chicago-bank-07,osm-sionna-source-chicago-bank-07,source_encoder_train,12632,1112,2640,208016,36320,17808,12592,1396,2396,201360,24740,36044,source_encoder_train_per_bank,True,csi-pairs-formal-v2.1-v6,060d8671380acaf43bd0beb2c77ac5c6ec112e4ddc083451ab36a5916b7c9cac,ce0d6de3d77ed6edde2c9eca5f7ce4ab92c262b63ce50b25113c1cffc8a3ca46,False,FORMAL_EXPERIMENT_ALLOWED,c63b699ed767134007e47157a733f68e4c31de8be4ca0c30d71ec46a08b85621,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,f03e9b40548b237a49c65fc91de8d79034f2eebff1da0442b6af685a9adf95bd,,,,,,,,,,,,,,,
osm-sionna-source-chicago-bank-08,osm-sionna-source-chicago-bank-08,source_encoder_train,13312,0,3072,212992,3504,45648,13312,768,2304,212992,17856,31296,source_encoder_train_per_bank,True,csi-pairs-formal-v2.1-v6,060d8671380acaf43bd0beb2c77ac5c6ec112e4ddc083451ab36a5916b7c9cac,ce0d6de3d77ed6edde2c9eca5f7ce4ab92c262b63ce50b25113c1cffc8a3ca46,False,FORMAL_EXPERIMENT_ALLOWED,c63b699ed767134007e47157a733f68e4c31de8be4ca0c30d71ec46a08b85621,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,f03e9b40548b237a49c65fc91de8d79034f2eebff1da0442b6af685a9adf95bd,,,,,,,,,,,,,,,
osm-sionna-source-chicago-bank-09,osm-sionna-source-chicago-bank-09,source_encoder_train,13280,32,3072,212992,0,49152,13312,0,3072,212864,1792,47488,source_encoder_train_per_bank,True,csi-pairs-formal-v2.1-v6,060d8671380acaf43bd0beb2c77ac5c6ec112e4ddc083451ab36a5916b7c9cac,ce0d6de3d77ed6edde2c9eca5f7ce4ab92c262b63ce50b25113c1cffc8a3ca46,False,FORMAL_EXPERIMENT_ALLOWED,c63b699ed767134007e47157a733f68e4c31de8be4ca0c30d71ec46a08b85621,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,f03e9b40548b237a49c65fc91de8d79034f2eebff1da0442b6af685a9adf95bd,,,,,,,,,,,,,,,
osm-sionna-source-chicago-bank-10,osm-sionna-source-chicago-bank-10,source_encoder_train,12592,692,3100,202496,10496,49152,10976,2080,3328,176580,31980,53584,source_encoder_train_per_bank,True,csi-pairs-formal-v2.1-v6,060d8671380acaf43bd0beb2c77ac5c6ec112e4ddc083451ab36a5916b7c9cac,ce0d6de3d77ed6edde2c9eca5f7ce4ab92c262b63ce50b25113c1cffc8a3ca46,False,FORMAL_EXPERIMENT_ALLOWED,c63b699ed767134007e47157a733f68e4c31de8be4ca0c30d71ec46a08b85621,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,f03e9b40548b237a49c65fc91de8d79034f2eebff1da0442b6af685a9adf95bd,,,,,,,,,,,,,,,
osm-sionna-source-chicago-bank-11,osm-sionna-source-chicago-bank-11,source_encoder_train,9216,2408,4760,147888,58064,56192,9104,3392,3888,145968,60984,55192,source_encoder_train_per_bank,True,csi-pairs-formal-v2.1-v6,060d8671380acaf43bd0beb2c77ac5c6ec112e4ddc083451ab36a5916b7c9cac,ce0d6de3d77ed6edde2c9eca5f7ce4ab92c262b63ce50b25113c1cffc8a3ca46,False,FORMAL_EXPERIMENT_ALLOWED,c63b699ed767134007e47157a733f68e4c31de8be4ca0c30d71ec46a08b85621,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,f03e9b40548b237a49c65fc91de8d79034f2eebff1da0442b6af685a9adf95bd,,,,,,,,,,,,,,,
osm-sionna-source-chicago-bank-12,osm-sionna-source-chicago-bank-12,source_encoder_train,12464,872,3048,198832,14160,49152,11072,1700,3612,177244,29568,55332,source_encoder_train_per_bank,True,csi-pairs-formal-v2.1-v6,060d8671380acaf43bd0beb2c77ac5c6ec112e4ddc083451ab36a5916b7c9cac,ce0d6de3d77ed6edde2c9eca5f7ce4ab92c262b63ce50b25113c1cffc8a3ca46,False,FORMAL_EXPERIMENT_ALLOWED,c63b699ed767134007e47157a733f68e4c31de8be4ca0c30d71ec46a08b85621,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,f03e9b40548b237a49c65fc91de8d79034f2eebff1da0442b6af685a9adf95bd,,,,,,,,,,,,,,,
osm-sionna-source-chicago-bank-13,osm-sionna-source-chicago-bank-13,source_encoder_train,13312,320,2752,212992,12352,36800,13312,328,2744,212992,10528,38624,source_encoder_train_per_bank,True,csi-pairs-formal-v2.1-v6,060d8671380acaf43bd0beb2c77ac5c6ec112e4ddc083451ab36a5916b7c9cac,ce0d6de3d77ed6edde2c9eca5f7ce4ab92c262b63ce50b25113c1cffc8a3ca46,False,FORMAL_EXPERIMENT_ALLOWED,c63b699ed767134007e47157a733f68e4c31de8be4ca0c30d71ec46a08b85621,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,f03e9b40548b237a49c65fc91de8d79034f2eebff1da0442b6af685a9adf95bd,,,,,,,,,,,,,,,
