seed,arm,selected_family,selection_nll,selection_auroc,candidate_metrics,artifact_label,dataset_sha256,config_sha256,fixture,scientific_use,source_tree_sha256,requirements_lock_sha256,runtime_provenance_sha256
17,endpoint,mlp2,0.6980136791025867,0.4985822306238185,"[{'family': 'mlp2', 'selection_nll': 0.6980136791025867, 'selection_auroc': 0.4985822306238185}, {'family': 'linear', 'selection_nll': 0.7105345492040486, 'selection_auroc': 0.4995274102079395}]",csi-pairs-v6-software-fixture,ded1ec639ff3e6fd5eba769d42db1ed36222a48af333a30a670254b30b164b74,620f300cbec1f56da4691882bc7dbe52593dc597fc62f6ae925c0f6ac72f1c6b,True,FORBIDDEN,0901433cbfe906073eae45118a1466e03afab04a766a3061a988ffe089ba4e01,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,8128818d8ea8f5c3517d04da28955f010269df61e756429957a0a032386f6c51
17,alignment,mlp2,0.6980254270984291,0.498109640831758,"[{'family': 'mlp2', 'selection_nll': 0.6980254270984291, 'selection_auroc': 0.498109640831758}, {'family': 'linear', 'selection_nll': 0.7103312042532125, 'selection_auroc': 0.5004725897920604}]",csi-pairs-v6-software-fixture,ded1ec639ff3e6fd5eba769d42db1ed36222a48af333a30a670254b30b164b74,620f300cbec1f56da4691882bc7dbe52593dc597fc62f6ae925c0f6ac72f1c6b,True,FORBIDDEN,0901433cbfe906073eae45118a1466e03afab04a766a3061a988ffe089ba4e01,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,8128818d8ea8f5c3517d04da28955f010269df61e756429957a0a032386f6c51
17,response,mlp2,0.698130691557048,0.4976370510396975,"[{'family': 'mlp2', 'selection_nll': 0.698130691557048, 'selection_auroc': 0.4976370510396975}, {'family': 'linear', 'selection_nll': 0.7080792883092538, 'selection_auroc': 0.5}]",csi-pairs-v6-software-fixture,ded1ec639ff3e6fd5eba769d42db1ed36222a48af333a30a670254b30b164b74,620f300cbec1f56da4691882bc7dbe52593dc597fc62f6ae925c0f6ac72f1c6b,True,FORBIDDEN,0901433cbfe906073eae45118a1466e03afab04a766a3061a988ffe089ba4e01,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,8128818d8ea8f5c3517d04da28955f010269df61e756429957a0a032386f6c51
17,full,mlp2,0.6981444684670217,0.4985822306238185,"[{'family': 'mlp2', 'selection_nll': 0.6981444684670217, 'selection_auroc': 0.4985822306238185}, {'family': 'linear', 'selection_nll': 0.7080713880255002, 'selection_auroc': 0.5023629489603024}]",csi-pairs-v6-software-fixture,ded1ec639ff3e6fd5eba769d42db1ed36222a48af333a30a670254b30b164b74,620f300cbec1f56da4691882bc7dbe52593dc597fc62f6ae925c0f6ac72f1c6b,True,FORBIDDEN,0901433cbfe906073eae45118a1466e03afab04a766a3061a988ffe089ba4e01,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,8128818d8ea8f5c3517d04da28955f010269df61e756429957a0a032386f6c51
23,endpoint,mlp2,0.6943816226324409,0.4966918714555766,"[{'family': 'mlp2', 'selection_nll': 0.6943816226324409, 'selection_auroc': 0.4966918714555766}, {'family': 'linear', 'selection_nll': 0.69659912895644, 'selection_auroc': 0.502835538752363}]",csi-pairs-v6-software-fixture,ded1ec639ff3e6fd5eba769d42db1ed36222a48af333a30a670254b30b164b74,620f300cbec1f56da4691882bc7dbe52593dc597fc62f6ae925c0f6ac72f1c6b,True,FORBIDDEN,0901433cbfe906073eae45118a1466e03afab04a766a3061a988ffe089ba4e01,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,8128818d8ea8f5c3517d04da28955f010269df61e756429957a0a032386f6c51
23,alignment,mlp2,0.694377798648819,0.4966918714555766,"[{'family': 'mlp2', 'selection_nll': 0.694377798648819, 'selection_auroc': 0.4966918714555766}, {'family': 'linear', 'selection_nll': 0.6965453492294592, 'selection_auroc': 0.5042533081285444}]",csi-pairs-v6-software-fixture,ded1ec639ff3e6fd5eba769d42db1ed36222a48af333a30a670254b30b164b74,620f300cbec1f56da4691882bc7dbe52593dc597fc62f6ae925c0f6ac72f1c6b,True,FORBIDDEN,0901433cbfe906073eae45118a1466e03afab04a766a3061a988ffe089ba4e01,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,8128818d8ea8f5c3517d04da28955f010269df61e756429957a0a032386f6c51
23,response,mlp2,0.6943466191965587,0.4995274102079395,"[{'family': 'mlp2', 'selection_nll': 0.6943466191965587, 'selection_auroc': 0.4995274102079395}, {'family': 'linear', 'selection_nll': 0.6952772608634782, 'selection_auroc': 0.5033081285444234}]",csi-pairs-v6-software-fixture,ded1ec639ff3e6fd5eba769d42db1ed36222a48af333a30a670254b30b164b74,620f300cbec1f56da4691882bc7dbe52593dc597fc62f6ae925c0f6ac72f1c6b,True,FORBIDDEN,0901433cbfe906073eae45118a1466e03afab04a766a3061a988ffe089ba4e01,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,8128818d8ea8f5c3517d04da28955f010269df61e756429957a0a032386f6c51
23,full,mlp2,0.6943498268617901,0.4985822306238185,"[{'family': 'mlp2', 'selection_nll': 0.6943498268617901, 'selection_auroc': 0.4985822306238185}, {'family': 'linear', 'selection_nll': 0.6953031602049105, 'selection_auroc': 0.502835538752363}]",csi-pairs-v6-software-fixture,ded1ec639ff3e6fd5eba769d42db1ed36222a48af333a30a670254b30b164b74,620f300cbec1f56da4691882bc7dbe52593dc597fc62f6ae925c0f6ac72f1c6b,True,FORBIDDEN,0901433cbfe906073eae45118a1466e03afab04a766a3061a988ffe089ba4e01,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,8128818d8ea8f5c3517d04da28955f010269df61e756429957a0a032386f6c51
31,endpoint,linear,0.6975295718400948,0.501890359168242,"[{'family': 'linear', 'selection_nll': 0.6975295718400948, 'selection_auroc': 0.501890359168242}, {'family': 'mlp2', 'selection_nll': 0.7002782430443489, 'selection_auroc': 0.4995274102079395}]",csi-pairs-v6-software-fixture,ded1ec639ff3e6fd5eba769d42db1ed36222a48af333a30a670254b30b164b74,620f300cbec1f56da4691882bc7dbe52593dc597fc62f6ae925c0f6ac72f1c6b,True,FORBIDDEN,0901433cbfe906073eae45118a1466e03afab04a766a3061a988ffe089ba4e01,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,8128818d8ea8f5c3517d04da28955f010269df61e756429957a0a032386f6c51
31,alignment,linear,0.6974041902000513,0.501890359168242,"[{'family': 'linear', 'selection_nll': 0.6974041902000513, 'selection_auroc': 0.501890359168242}, {'family': 'mlp2', 'selection_nll': 0.7002634876710075, 'selection_auroc': 0.5}]",csi-pairs-v6-software-fixture,ded1ec639ff3e6fd5eba769d42db1ed36222a48af333a30a670254b30b164b74,620f300cbec1f56da4691882bc7dbe52593dc597fc62f6ae925c0f6ac72f1c6b,True,FORBIDDEN,0901433cbfe906073eae45118a1466e03afab04a766a3061a988ffe089ba4e01,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,8128818d8ea8f5c3517d04da28955f010269df61e756429957a0a032386f6c51
